Project	Export	started	ended	Duration (min)	machine
BUS2	V340	29.04.2017 12:31	29.04.2017 12:45	14	PC37156
BUS2	V330-2	29.04.2017 12:29	29.04.2017 12:41	12	PC36132
BUS2	V360	29.04.2017 11:15	29.04.2017 12:29	74	PC36132
BUS2	V290	29.04.2017 11:10	29.04.2017 11:15	5	PC36132
BUS2	V330-3	29.04.2017 11:00	29.04.2017 11:10	10	PC36132
SUS	RIV	29.04.2017 01:42	29.04.2017 04:11	149	PC37156
SUS	RIE	29.04.2017 01:17	29.04.2017 01:42	25	PC37156
BUS2	V360	29.04.2017 00:37	29.04.2017 01:17	40	PC37156
BUS2	V330-2	29.04.2017 00:26	29.04.2017 00:37	11	PC37156
BUS2	V330-3	29.04.2017 00:17	29.04.2017 00:26	9	PC37156
BUS2	E400	28.04.2017 23:20	29.04.2017 04:35	315	PC36132
BUS2	V340	28.04.2017 23:06	28.04.2017 23:20	14	PC36132
BUS2	V330-1	28.04.2017 23:00	28.04.2017 23:06	6	PC36132
BUS2	V300	28.04.2017 22:21	29.04.2017 00:17	116	PC37156
BUS2	V300	28.04.2017 15:31	28.04.2017 22:21	410	PC37156
BUS2	V330-2	28.04.2017 12:09	28.04.2017 12:20	11	PC37156
BUS2	V360	28.04.2017 11:55	28.04.2017 12:09	14	PC37156
BUS2	V290	28.04.2017 11:50	28.04.2017 11:55	5	PC37156
BUS2	V330-1	28.04.2017 11:43	28.04.2017 11:50	7	PC37156
BUS2	V330-3	28.04.2017 11:33	28.04.2017 11:42	9	PC37156
BUS2	V340	28.04.2017 11:19	28.04.2017 11:33	14	PC37156
BUS2	E400	28.04.2017 11:00	28.04.2017 11:19	19	PC37156
SUS	RIE	28.04.2017 08:49	28.04.2017 09:15	26	PC37156
SUS	RIV	28.04.2017 07:31	28.04.2017 08:49	78	PC37156
BUS2	V330-1	28.04.2017 05:57	28.04.2017 06:03	6	PC36132
BUS2	V330-3	28.04.2017 05:46	28.04.2017 05:57	11	PC36132
BUS2	V360	28.04.2017 04:25	28.04.2017 05:46	81	PC36132
BUS2	E400	27.04.2017 23:14	28.04.2017 04:24	310	PC36132
BUS2	V330-2	27.04.2017 23:00	27.04.2017 23:11	11	PC37156
BUS2	V340	27.04.2017 23:00	27.04.2017 23:14	14	PC36132
SUS	RIV	27.04.2017 21:27	27.04.2017 22:45	78	PC37156
SUS	RIE	27.04.2017 21:02	27.04.2017 21:27	25	PC37156
SUS	RIV	27.04.2017 15:24	27.04.2017 21:02	338	PC37156
SUS	RIE	27.04.2017 14:55	27.04.2017 15:24	29	PC37156
BUS2	V300	27.04.2017 14:55	27.04.2017 15:47	52	PC36132
BUS2	E400	27.04.2017 14:17	27.04.2017 14:38	21	PC36132
BUS2	V300	27.04.2017 14:06	27.04.2017 14:55	49	PC37156
BUS2	V330-3	27.04.2017 11:34	27.04.2017 11:44	10	PC37156
BUS2	V360	27.04.2017 11:21	27.04.2017 11:34	13	PC37156
BUS2	V330-1	27.04.2017 11:14	27.04.2017 11:21	7	PC37156
BUS2	V330-2	27.04.2017 11:04	27.04.2017 11:14	10	PC37156
BUS2	V290	27.04.2017 11:00	27.04.2017 11:04	4	PC37156
BUS2	V340	27.04.2017 11:00	27.04.2017 11:13	13	PC36132
BUS2	V330-2	27.04.2017 00:26	27.04.2017 00:37	11	PC36132
BUS2	V330-1	27.04.2017 00:20	27.04.2017 00:26	6	PC36132
BUS2	V340	27.04.2017 00:07	27.04.2017 00:20	13	PC36132
BUS2	E400	27.04.2017 00:05	27.04.2017 04:02	237	PC37156
BUS2	V360	26.04.2017 23:09	27.04.2017 00:05	56	PC37156
BUS2	V330-3	26.04.2017 23:00	26.04.2017 23:09	9	PC37156
BUS2	V360	26.04.2017 16:13	26.04.2017 17:26	73	PC37156
BUS2	E400	26.04.2017 11:44	26.04.2017 16:13	269	PC37156
BUS2	V340	26.04.2017 11:31	26.04.2017 11:44	13	PC37156
BUS2	V330-2	26.04.2017 11:21	26.04.2017 11:31	10	PC37156
BUS2	V290	26.04.2017 11:15	26.04.2017 11:20	5	PC37156
BUS2	V330-3	26.04.2017 11:07	26.04.2017 11:15	8	PC37156
BUS2	V330-1	26.04.2017 11:00	26.04.2017 11:06	6	PC37156
BUS2	V330-3	26.04.2017 00:00	26.04.2017 00:08	8	PC37156
BUS2	E400	25.04.2017 23:53	26.04.2017 04:27	274	PC36132
BUS2	V340	25.04.2017 23:17	25.04.2017 23:31	14	PC37156
BUS2	V360	25.04.2017 23:17	25.04.2017 23:53	36	PC36132
BUS2	V330-1	25.04.2017 23:11	25.04.2017 23:17	6	PC36132
BUS2	V330-2	25.04.2017 23:00	25.04.2017 23:10	10	PC36132
BUS2	V340	25.04.2017 13:40	25.04.2017 13:53	13	PC37156
BUS2	E400	25.04.2017 12:43	25.04.2017 17:35	292	PC36132
BUS2	V330-1	25.04.2017 12:37	25.04.2017 12:43	6	PC36132
BUS2	V360	25.04.2017 11:26	25.04.2017 12:37	71	PC36132
BUS2	V290	25.04.2017 11:21	25.04.2017 11:26	5	PC36132
BUS2	V330-3	25.04.2017 11:11	25.04.2017 11:20	9	PC36132
BUS2	V330-2	25.04.2017 11:00	25.04.2017 11:11	11	PC36132
BUS2	V340	25.04.2017 09:06	25.04.2017 09:19	13	PC36132
BUS2	V360	25.04.2017 08:50	25.04.2017 09:05	15	PC36132
BUS2	V330-1	25.04.2017 08:43	25.04.2017 08:50	7	PC36132
BUS2	V330-2	25.04.2017 08:32	25.04.2017 08:43	11	PC36132
BUS2	V330-3	25.04.2017 08:22	25.04.2017 08:32	10	PC36132
BUS2	E400	25.04.2017 03:54	25.04.2017 08:21	267	PC36132
BUS2	V360	24.04.2017 22:38	24.04.2017 22:53	15	PC36132
BUS2	V360	24.04.2017 17:23	24.04.2017 17:38	15	PC36132
BUS2	V330-1	24.04.2017 12:15	24.04.2017 12:22	7	PC36132
BUS2	V330-2	24.04.2017 12:03	24.04.2017 12:15	12	PC36132
BUS2	V340	24.04.2017 11:48	24.04.2017 12:03	15	PC36132
BUS2	E400	24.04.2017 11:25	24.04.2017 11:48	23	PC36132
BUS2	V290	24.04.2017 11:20	24.04.2017 11:25	5	PC36132
BUS2	V330-3	24.04.2017 11:09	24.04.2017 11:19	10	PC36132
BUS2	E400	24.04.2017 01:53	24.04.2017 06:09	256	PC36132
BUS2	V330-2	24.04.2017 01:43	24.04.2017 01:53	10	PC36132
BUS2	V330-1	24.04.2017 01:36	24.04.2017 01:42	6	PC36132
BUS2	V330-3	24.04.2017 01:27	24.04.2017 01:36	9	PC36132
BUS2	V340	24.04.2017 01:14	24.04.2017 01:27	13	PC36132
BUS2	V300	23.04.2017 16:49	23.04.2017 17:36	47	PC36132
BUS2	V300	23.04.2017 16:03	23.04.2017 16:49	46	PC36132
BUS2	V330-2	23.04.2017 15:52	23.04.2017 16:03	11	PC36132
BUS2	V290	23.04.2017 15:48	23.04.2017 15:52	4	PC36132
BUS2	V340	23.04.2017 15:35	23.04.2017 15:48	13	PC36132
BUS2	V330-3	23.04.2017 15:15	23.04.2017 15:23	8	PC37156
BUS2	V330-1	23.04.2017 15:08	23.04.2017 15:15	7	PC37156
BUS2	E400	23.04.2017 11:00	23.04.2017 15:08	248	PC37156
SUS	RIE	23.04.2017 05:24	23.04.2017 05:44	20	PC37156
SUS	RIV	23.04.2017 04:00	23.04.2017 05:24	84	PC37156
BUS2	E400	23.04.2017 01:36	23.04.2017 05:58	262	PC36132
BUS2	V330-1	23.04.2017 01:30	23.04.2017 01:36	6	PC36132
BUS2	V340	23.04.2017 01:17	23.04.2017 01:30	13	PC36132
BUS2	V330-3	23.04.2017 01:08	23.04.2017 01:17	9	PC36132
BUS2	V330-2	23.04.2017 00:57	23.04.2017 01:08	11	PC36132
BUS2	V360	22.04.2017 23:00	23.04.2017 00:57	117	PC36132
BUS2	V300	22.04.2017 12:27	22.04.2017 13:13	46	PC36132
BUS2	E400	22.04.2017 11:26	22.04.2017 15:29	243	PC37156
BUS2	V360	22.04.2017 11:17	22.04.2017 12:27	70	PC36132
BUS2	V330-2	22.04.2017 11:16	22.04.2017 11:26	10	PC37156
BUS2	V290	22.04.2017 11:13	22.04.2017 11:17	4	PC36132
BUS2	V330-1	22.04.2017 11:10	22.04.2017 11:16	6	PC37156
BUS2	V330-3	22.04.2017 11:01	22.04.2017 11:10	9	PC37156
BUS2	V340	22.04.2017 11:00	22.04.2017 11:13	13	PC36132
BUS2	V300	22.04.2017 09:01	22.04.2017 11:01	120	PC37156
SUS	RIE	22.04.2017 06:58	22.04.2017 07:21	23	PC37156
SUS	RIV	22.04.2017 04:23	22.04.2017 06:58	155	PC37156
BUS2	V330-2	22.04.2017 04:00	22.04.2017 04:11	11	PC36132
BUS2	E400	22.04.2017 00:15	22.04.2017 04:22	247	PC37156
BUS2	V330-1	22.04.2017 00:08	22.04.2017 00:15	7	PC37156
BUS2	V330-3	22.04.2017 00:00	22.04.2017 00:08	8	PC37156
BUS2	V360	21.04.2017 23:13	21.04.2017 23:30	17	PC37156
BUS2	V340	21.04.2017 23:00	21.04.2017 23:13	13	PC37156
SUS	RIV	21.04.2017 15:36	21.04.2017 18:36	180	PC37156
SUS	RIV	21.04.2017 14:10	21.04.2017 15:35	85	PC37156
BUS2	E400	21.04.2017 13:58	21.04.2017 14:17	19	PC36132
BUS2	V300	21.04.2017 13:03	21.04.2017 13:51	48	PC36132
BUS2	V290	21.04.2017 12:58	21.04.2017 13:02	4	PC36132
BUS2	V330-1	21.04.2017 12:51	21.04.2017 12:58	7	PC36132
BUS2	V340	21.04.2017 12:37	21.04.2017 12:51	14	PC36132
BUS2	V330-2	21.04.2017 12:26	21.04.2017 12:37	11	PC36132
BUS2	V360	21.04.2017 12:19	21.04.2017 14:10	111	PC37156
BUS2	E400	21.04.2017 12:08	21.04.2017 12:26	18	PC36132
SUS	RIE	21.04.2017 11:58	21.04.2017 12:19	21	PC37156
BUS2	V330-3	21.04.2017 11:58	21.04.2017 12:07	9	PC36132
BUS2	V300	20.04.2017 12:31	20.04.2017 13:16	45	PC37156
BUS2	V330-2	20.04.2017 12:31	20.04.2017 12:41	10	PC36132
BUS2	V290	20.04.2017 12:26	20.04.2017 12:31	5	PC36132
BUS2	V330-1	20.04.2017 12:24	20.04.2017 12:31	7	PC37156
BUS2	V330-3	20.04.2017 12:16	20.04.2017 12:24	8	PC37156
BUS2	V360	20.04.2017 12:13	20.04.2017 12:26	13	PC36132
BUS2	V340	20.04.2017 12:00	20.04.2017 12:13	13	PC36132
BUS2	E400	20.04.2017 11:59	20.04.2017 12:16	17	PC37156
SUS	RIE	20.04.2017 09:30	20.04.2017 10:00	30	PC37156
BUS2	V360	20.04.2017 07:58	20.04.2017 09:30	92	PC37156
BUS2	V340	20.04.2017 02:45	20.04.2017 02:58	13	PC37156
BUS2	V330-3	19.04.2017 23:07	19.04.2017 23:17	10	PC36132
BUS2	E400	19.04.2017 23:00	20.04.2017 02:45	225	PC37156
BUS2	V330-1	19.04.2017 23:00	19.04.2017 23:07	7	PC36132
BUS2	V300	19.04.2017 21:43	19.04.2017 22:28	45	PC37156
BUS2	V300	19.04.2017 16:07	19.04.2017 16:53	46	PC36132
BUS2	V330-1	19.04.2017 15:59	19.04.2017 16:07	8	PC36132
BUS2	V330-2	19.04.2017 15:50	19.04.2017 15:59	9	PC36132
BUS2	V360	19.04.2017 14:29	19.04.2017 15:50	81	PC36132
BUS2	V340	19.04.2017 14:15	19.04.2017 14:29	14	PC36132
BUS2	V330-3	19.04.2017 14:05	19.04.2017 14:14	9	PC36132
BUS2	E400	19.04.2017 13:30	19.04.2017 17:10	220	PC37156
SUS	RIV	19.04.2017 08:32	19.04.2017 13:30	298	PC37156
SUS	RIE	19.04.2017 08:06	19.04.2017 08:32	26	PC37156
BUS2	E400	18.04.2017 23:27	19.04.2017 03:06	219	PC37156
BUS2	V360	18.04.2017 23:21	19.04.2017 00:09	48	PC36132
BUS2	V330-2	18.04.2017 23:19	18.04.2017 23:27	8	PC37156
BUS2	V330-3	18.04.2017 23:10	18.04.2017 23:19	9	PC37156
BUS2	V340	18.04.2017 23:06	18.04.2017 23:20	14	PC36132
BUS2	V330-1	18.04.2017 23:00	18.04.2017 23:06	6	PC36132
BUS2	V300	18.04.2017 22:01	18.04.2017 23:10	69	PC37156
BUS2	E400	18.04.2017 14:14	18.04.2017 14:35	21	PC36132
BUS2	V300	18.04.2017 11:36	18.04.2017 12:21	45	PC37156
BUS2	V330-1	18.04.2017 11:30	18.04.2017 11:36	6	PC37156
BUS2	V360	18.04.2017 11:23	18.04.2017 12:33	70	PC36132
BUS2	V330-2	18.04.2017 11:14	18.04.2017 11:23	9	PC36132
BUS2	E400	18.04.2017 11:10	18.04.2017 11:30	20	PC37156
BUS2	V330-3	18.04.2017 11:00	18.04.2017 11:10	10	PC37156
BUS2	V340	18.04.2017 11:00	18.04.2017 11:14	14	PC36132
SUS	RIV	18.04.2017 03:13	18.04.2017 05:00	107	PC37156
SUS	RIE	18.04.2017 02:48	18.04.2017 03:13	25	PC37156
BUS2	V330-2	17.04.2017 23:47	17.04.2017 23:56	9	PC36132
BUS2	V360	17.04.2017 23:30	17.04.2017 23:47	17	PC36132
BUS2	V330-1	17.04.2017 23:23	17.04.2017 23:30	7	PC36132
BUS2	V340	17.04.2017 23:10	17.04.2017 23:23	13	PC36132
BUS2	E400	17.04.2017 23:00	18.04.2017 02:48	228	PC37156
BUS2	V330-3	17.04.2017 23:00	17.04.2017 23:10	10	PC36132
BUS2	E400	17.04.2017 16:07	17.04.2017 19:37	210	PC36132
BUS2	V330-2	17.04.2017 11:51	17.04.2017 12:00	9	PC36132
BUS2	V360	17.04.2017 11:13	17.04.2017 11:51	38	PC36132
BUS2	V330-3	17.04.2017 11:07	17.04.2017 11:16	9	PC37156
BUS2	V330-1	17.04.2017 11:00	17.04.2017 11:07	7	PC37156
BUS2	V340	17.04.2017 11:00	17.04.2017 11:13	13	PC36132
SUS	RIV	17.04.2017 03:36	17.04.2017 07:26	230	PC37156
SUS	RIE	17.04.2017 03:14	17.04.2017 03:36	22	PC37156
BUS2	E400	16.04.2017 23:24	17.04.2017 03:14	230	PC37156
BUS2	V360	16.04.2017 23:17	16.04.2017 23:36	19	PC36132
BUS2	V330-3	16.04.2017 23:14	16.04.2017 23:24	10	PC37156
BUS2	V330-2	16.04.2017 23:07	16.04.2017 23:17	10	PC36132
BUS2	V340	16.04.2017 23:00	16.04.2017 23:14	14	PC37156
BUS2	V330-1	16.04.2017 23:00	16.04.2017 23:07	7	PC36132
BUS2	V360	16.04.2017 11:22	16.04.2017 11:34	12	PC37156
BUS2	E400	16.04.2017 11:17	16.04.2017 15:02	225	PC36132
BUS2	V340	16.04.2017 11:08	16.04.2017 11:22	14	PC37156
BUS2	V330-3	16.04.2017 11:07	16.04.2017 11:17	10	PC36132
BUS2	V330-2	16.04.2017 11:00	16.04.2017 11:08	8	PC37156
BUS2	V330-1	16.04.2017 11:00	16.04.2017 11:07	7	PC36132
SUS	RIE	16.04.2017 03:46	16.04.2017 04:10	24	PC37156
SUS	RIV	16.04.2017 00:35	16.04.2017 03:46	191	PC37156
BUS2	V340	16.04.2017 00:21	16.04.2017 00:35	14	PC37156
BUS2	V360	15.04.2017 23:17	16.04.2017 00:21	64	PC37156
BUS2	V330-2	15.04.2017 23:09	15.04.2017 23:17	8	PC37156
BUS2	E400	15.04.2017 23:07	16.04.2017 03:09	242	PC36132
BUS2	V330-1	15.04.2017 23:00	15.04.2017 23:07	7	PC36132
BUS2	V330-3	15.04.2017 23:00	15.04.2017 23:09	9	PC37156
BUS2	V330-2	15.04.2017 12:32	15.04.2017 12:40	8	PC37156
BUS2	V330-1	15.04.2017 12:25	15.04.2017 12:32	7	PC37156
BUS2	V340	15.04.2017 12:11	15.04.2017 12:25	14	PC37156
BUS2	E400	15.04.2017 11:10	15.04.2017 14:54	224	PC36132
BUS2	V360	15.04.2017 11:00	15.04.2017 12:11	71	PC37156
BUS2	V330-3	15.04.2017 11:00	15.04.2017 11:09	9	PC36132
SUS	RIE	15.04.2017 05:50	15.04.2017 06:13	23	PC37156
SUS	RIV	15.04.2017 03:07	15.04.2017 05:50	163	PC37156
BUS2	V360	14.04.2017 23:22	14.04.2017 23:39	17	PC36132
BUS2	E400	14.04.2017 23:16	15.04.2017 03:07	231	PC37156
BUS2	V330-2	14.04.2017 23:13	14.04.2017 23:22	9	PC36132
BUS2	V330-1	14.04.2017 23:09	14.04.2017 23:16	7	PC37156
BUS2	V340	14.04.2017 23:00	14.04.2017 23:13	13	PC36132
BUS2	V330-3	14.04.2017 23:00	14.04.2017 23:09	9	PC37156
BUS2	V360	14.04.2017 11:51	14.04.2017 13:01	70	PC37156
BUS2	V330-2	14.04.2017 11:22	14.04.2017 11:51	29	PC37156
BUS2	V330-3	14.04.2017 11:13	14.04.2017 11:22	9	PC37156
BUS2	E400	14.04.2017 11:07	14.04.2017 14:36	209	PC36132
BUS2	V330-1	14.04.2017 11:00	14.04.2017 11:07	7	PC36132
BUS2	V340	14.04.2017 11:00	14.04.2017 11:13	13	PC37156
SUS	RIE	14.04.2017 04:54	14.04.2017 05:16	22	PC37156
BUS2	V330-2	14.04.2017 03:09	14.04.2017 03:18	9	PC36132
SUS	RIV	14.04.2017 02:59	14.04.2017 04:53	114	PC37156
BUS2	V360	14.04.2017 01:50	14.04.2017 03:09	79	PC36132
BUS2	V340	14.04.2017 01:37	14.04.2017 01:50	13	PC36132
BUS2	E400	13.04.2017 23:09	14.04.2017 02:59	230	PC37156
BUS2	V330-1	13.04.2017 23:00	13.04.2017 23:06	6	PC36132
BUS2	V330-3	13.04.2017 23:00	13.04.2017 23:09	9	PC37156
BUS2	V330-3	13.04.2017 12:01	13.04.2017 12:10	9	PC36132
BUS2	V330-2	13.04.2017 11:52	13.04.2017 12:01	9	PC36132
BUS2	V360	13.04.2017 11:19	13.04.2017 11:52	33	PC36132
BUS2	V340	13.04.2017 11:06	13.04.2017 11:19	13	PC36132
BUS2	E400	13.04.2017 11:00	13.04.2017 14:48	228	PC37156
BUS2	V330-1	13.04.2017 11:00	13.04.2017 11:06	6	PC36132
SUS	RIV	13.04.2017 00:32	13.04.2017 04:22	230	PC37156
SUS	RIE	13.04.2017 00:06	13.04.2017 00:32	26	PC37156
BUS2	V330-1	13.04.2017 00:00	13.04.2017 00:06	6	PC37156
BUS2	E400	12.04.2017 23:33	13.04.2017 03:33	240	PC36132
BUS2	V330-3	12.04.2017 23:23	12.04.2017 23:33	10	PC36132
BUS2	V340	12.04.2017 23:09	12.04.2017 23:23	14	PC36132
BUS2	V360	12.04.2017 23:00	12.04.2017 23:55	55	PC37156
BUS2	V330-2	12.04.2017 23:00	12.04.2017 23:09	9	PC36132
SUS	RIV	12.04.2017 15:09	12.04.2017 17:31	142	PC37156
BUS2	V340	12.04.2017 14:55	12.04.2017 15:09	14	PC37156
BUS2	V330-3	12.04.2017 14:46	12.04.2017 14:55	9	PC37156
BUS2	E400	12.04.2017 13:46	12.04.2017 17:53	247	PC36132
BUS2	V360	12.04.2017 13:01	12.04.2017 14:46	105	PC37156
BUS2	V330-2	12.04.2017 12:53	12.04.2017 13:01	8	PC37156
BUS2	V330-1	12.04.2017 12:45	12.04.2017 12:52	7	PC37156
SUS	RIE	12.04.2017 07:21	12.04.2017 07:45	24	PC37156
BUS2	V360	12.04.2017 01:26	12.04.2017 02:21	55	PC37156
BUS2	E400	11.04.2017 23:39	12.04.2017 03:45	246	PC36132
BUS2	V330-1	11.04.2017 23:32	11.04.2017 23:39	7	PC36132
BUS2	V330-2	11.04.2017 23:23	11.04.2017 23:32	9	PC36132
BUS2	V340	11.04.2017 23:09	11.04.2017 23:23	14	PC36132
BUS2	V330-3	11.04.2017 23:00	11.04.2017 23:09	9	PC36132
SUS	RIV	11.04.2017 16:52	11.04.2017 19:26	154	PC37156
BUS2	V360	11.04.2017 15:50	11.04.2017 16:52	62	PC37156
BUS2	V330-2	11.04.2017 15:42	11.04.2017 15:50	8	PC37156
BUS2	V330-1	11.04.2017 15:29	11.04.2017 15:35	6	PC36132
BUS2	V340	11.04.2017 15:16	11.04.2017 15:29	13	PC36132
BUS2	V330-3	11.04.2017 15:06	11.04.2017 15:15	9	PC36132
BUS2	E400	11.04.2017 11:00	11.04.2017 15:05	245	PC36132
SUS	RIE	11.04.2017 10:16	11.04.2017 10:41	25	PC37156
BUS2	V300	11.04.2017 08:28	11.04.2017 09:14	46	PC36132
BUS2	V360	11.04.2017 03:26	11.04.2017 05:15	109	PC37156
BUS2	V330-3	11.04.2017 03:17	11.04.2017 03:26	9	PC37156
BUS2	V330-1	11.04.2017 03:10	11.04.2017 03:17	7	PC37156
BUS2	V340	11.04.2017 02:55	11.04.2017 03:10	15	PC37156
BUS2	E400	10.04.2017 23:08	11.04.2017 02:55	227	PC37156
BUS2	V330-2	10.04.2017 23:00	10.04.2017 23:08	8	PC37156
BUS2	V300	10.04.2017 16:53	10.04.2017 17:40	47	PC36132
BUS2	V300	10.04.2017 16:07	10.04.2017 16:52	45	PC36132
BUS2	E400	10.04.2017 11:12	10.04.2017 11:25	13	PC37156
BUS2	V330-3	10.04.2017 11:12	10.04.2017 11:17	5	PC36132
BUS2	V330-1	10.04.2017 11:08	10.04.2017 11:12	4	PC36132
BUS2	V360	10.04.2017 11:04	10.04.2017 11:12	8	PC37156
BUS2	V340	10.04.2017 11:00	10.04.2017 11:07	7	PC36132
BUS2	V330-2	10.04.2017 11:00	10.04.2017 11:04	4	PC37156
SUS	RIE	10.04.2017 03:15	10.04.2017 03:26	11	PC37156
SUS	RIV	10.04.2017 00:00	10.04.2017 03:15	195	PC37156
BUS2	V340	09.04.2017 23:15	09.04.2017 23:23	8	PC36132
BUS2	V330-1	09.04.2017 23:11	09.04.2017 23:15	4	PC36132
BUS2	E400	09.04.2017 23:07	09.04.2017 23:21	14	PC37156
BUS2	V330-2	09.04.2017 23:06	09.04.2017 23:11	5	PC36132
BUS2	V330-3	09.04.2017 23:00	09.04.2017 23:06	6	PC36132
BUS2	V360	09.04.2017 23:00	09.04.2017 23:07	7	PC37156
BUS2	V330-3	09.04.2017 11:17	09.04.2017 11:22	5	PC36132
BUS2	E400	09.04.2017 11:12	09.04.2017 11:26	14	PC37156
BUS2	V360	09.04.2017 11:05	09.04.2017 11:16	11	PC36132
BUS2	V340	09.04.2017 11:04	09.04.2017 11:12	8	PC37156
BUS2	V330-1	09.04.2017 11:00	09.04.2017 11:04	4	PC37156
BUS2	V330-2	09.04.2017 11:00	09.04.2017 11:05	5	PC36132
SUS	RIV	09.04.2017 00:10	09.04.2017 02:06	116	PC37156
SUS	RIE	09.04.2017 00:00	09.04.2017 00:10	10	PC37156
BUS2	V360	08.04.2017 23:17	08.04.2017 23:24	7	PC37156
BUS2	V330-3	08.04.2017 23:15	08.04.2017 23:21	6	PC36132
BUS2	V330-2	08.04.2017 23:12	08.04.2017 23:17	5	PC37156
BUS2	V340	08.04.2017 23:04	08.04.2017 23:12	8	PC37156
BUS2	V330-1	08.04.2017 23:00	08.04.2017 23:04	4	PC37156
BUS2	E400	08.04.2017 23:00	08.04.2017 23:15	15	PC36132
BUS2	V340	08.04.2017 11:18	08.04.2017 11:26	8	PC37156
BUS2	V330-2	08.04.2017 11:15	08.04.2017 11:20	5	PC36132
BUS2	V330-1	08.04.2017 11:11	08.04.2017 11:15	4	PC36132
BUS2	E400	08.04.2017 11:05	08.04.2017 11:18	13	PC37156
BUS2	V330-3	08.04.2017 11:00	08.04.2017 11:05	5	PC37156
BUS2	V360	08.04.2017 11:00	08.04.2017 11:11	11	PC36132
SUS	RIE	08.04.2017 05:34	08.04.2017 05:44	10	PC37156
SUS	RIV	08.04.2017 00:14	08.04.2017 03:04	170	PC37156
BUS2	V330-3	08.04.2017 00:08	08.04.2017 00:14	6	PC37156
BUS2	V340	08.04.2017 00:00	08.04.2017 00:08	8	PC37156
BUS2	V360	07.04.2017 23:22	07.04.2017 23:30	8	PC37156
BUS2	V330-1	07.04.2017 23:18	07.04.2017 23:22	4	PC37156
BUS2	V330-2	07.04.2017 23:13	07.04.2017 23:18	5	PC37156
BUS2	E400	07.04.2017 23:00	07.04.2017 23:13	13	PC37156
BUS2	E400	07.04.2017 15:26	07.04.2017 15:39	13	PC37156
BUS2	V340	07.04.2017 11:25	07.04.2017 11:33	8	PC37156
BUS2	E400	07.04.2017 11:11	07.04.2017 11:24	13	PC37156
BUS2	V330-3	07.04.2017 11:05	07.04.2017 11:11	6	PC36132
BUS2	V360	07.04.2017 11:04	07.04.2017 11:11	7	PC37156
BUS2	V330-1	07.04.2017 11:00	07.04.2017 11:04	4	PC37156
BUS2	V330-2	07.04.2017 11:00	07.04.2017 11:05	5	PC36132
SUS	RIE	07.04.2017 05:26	07.04.2017 05:36	10	PC37156
SUS	RIV	07.04.2017 04:12	07.04.2017 05:25	73	PC37156
BUS2	V300	07.04.2017 04:02	07.04.2017 04:46	44	PC36132
BUS2	V330-3	07.04.2017 01:56	07.04.2017 02:02	6	PC36132
BUS2	V330-1	06.04.2017 23:22	06.04.2017 23:26	4	PC36132
BUS2	V340	06.04.2017 23:15	06.04.2017 23:22	7	PC36132
BUS2	V330-2	06.04.2017 23:07	06.04.2017 23:12	5	PC37156
BUS2	V360	06.04.2017 23:00	06.04.2017 23:07	7	PC37156
BUS2	E400	06.04.2017 23:00	06.04.2017 23:15	15	PC36132
BUS2	V330-3	06.04.2017 12:56	06.04.2017 13:01	5	PC37156
BUS2	V330-3	06.04.2017 12:41	06.04.2017 12:46	5	PC37156
BUS2	E400	06.04.2017 12:28	06.04.2017 12:41	13	PC37156
BUS2	V330-1	06.04.2017 12:23	06.04.2017 12:28	5	PC37156
BUS2	V330-2	06.04.2017 12:18	06.04.2017 12:23	5	PC37156
BUS2	V300	06.04.2017 12:18	06.04.2017 13:02	44	PC36132
BUS2	V360	06.04.2017 12:10	06.04.2017 12:18	8	PC37156
BUS2	V340	06.04.2017 12:10	06.04.2017 12:18	8	PC36132
SUS	RIE	06.04.2017 10:40	06.04.2017 10:52	12	PC37156
SUS	RIV	06.04.2017 09:56	06.04.2017 10:40	44	PC37156
BUS2	V300	06.04.2017 09:16	06.04.2017 09:59	43	PC36132
BUS2	V330-2	06.04.2017 09:10	06.04.2017 09:16	6	PC36132
BUS2	V340	06.04.2017 09:03	06.04.2017 09:10	7	PC36132
BUS2	V330-1	06.04.2017 08:59	06.04.2017 09:03	4	PC36132
BUS2	V330-3	06.04.2017 08:53	06.04.2017 08:59	6	PC36132
BUS2	V360	06.04.2017 08:44	06.04.2017 08:53	9	PC36132
BUS2	E400	06.04.2017 08:38	06.04.2017 08:51	13	PC37156
SUS	RIE	05.04.2017 19:54	05.04.2017 20:05	11	PC37156
SUS	RIV	05.04.2017 18:41	05.04.2017 19:54	73	PC37156
BUS2	V330-2	05.04.2017 18:36	05.04.2017 18:41	5	PC37156
BUS2	V360	05.04.2017 18:29	05.04.2017 18:36	7	PC37156
BUS2	V340	05.04.2017 13:21	05.04.2017 13:28	7	PC37156
BUS2	V330-1	05.04.2017 13:17	05.04.2017 13:21	4	PC37156
BUS2	E400	05.04.2017 13:14	05.04.2017 17:15	241	PC36132
BUS2	V330-3	05.04.2017 13:10	05.04.2017 13:17	7	PC37156
BUS2	V330-3	05.04.2017 08:59	05.04.2017 09:05	6	PC37156
BUS2	V330-2	05.04.2017 08:56	05.04.2017 09:01	5	PC36132
BUS2	V330-1	05.04.2017 08:52	05.04.2017 08:56	4	PC36132
BUS2	V340	05.04.2017 08:51	05.04.2017 08:59	8	PC37156
BUS2	V360	05.04.2017 08:44	05.04.2017 08:52	8	PC36132
