Project	Export	started	ended	Duration (min)	machine
BUS2	V300	18.05.2017 16:31	18.05.2017 22:47	376	PC36132
SUS	RIV	18.05.2017 13:51	18.05.2017 16:08	137	PC37156
BUS2	V290	18.05.2017 13:13	18.05.2017 13:17	4	PC37156
BUS2	V360	18.05.2017 12:38	18.05.2017 13:13	35	PC37156
BUS2	V330-2	18.05.2017 12:27	18.05.2017 12:38	11	PC37156
BUS2	V330-3	18.05.2017 12:18	18.05.2017 12:27	9	PC37156
BUS2	V340	18.05.2017 12:04	18.05.2017 12:18	14	PC37156
BUS2	V330-1	18.05.2017 11:57	18.05.2017 12:04	7	PC37156
SUS	RIE	18.05.2017 11:29	18.05.2017 11:56	27	PC37156
BUS2	E400	18.05.2017 11:00	18.05.2017 14:29	209	PC36132
BUS2	V360	18.05.2017 00:25	18.05.2017 03:09	164	PC37156
BUS2	V330-2	18.05.2017 00:14	18.05.2017 00:25	11	PC37156
BUS2	V340	18.05.2017 00:00	18.05.2017 00:14	14	PC37156
BUS2	E400	17.05.2017 23:19	18.05.2017 02:48	209	PC36132
BUS2	V330-1	17.05.2017 23:11	17.05.2017 23:19	8	PC36132
BUS2	V330-3	17.05.2017 23:00	17.05.2017 23:11	11	PC36132
BUS2	E400	17.05.2017 13:11	17.05.2017 17:57	286	PC36132
BUS2	V330-2	17.05.2017 12:59	17.05.2017 13:11	12	PC36132
BUS2	V330-1	17.05.2017 12:52	17.05.2017 12:59	7	PC36132
BUS2	V290	17.05.2017 12:47	17.05.2017 12:52	5	PC36132
BUS2	V340	17.05.2017 12:33	17.05.2017 12:47	14	PC36132
BUS2	V330-3	17.05.2017 12:23	17.05.2017 12:33	10	PC36132
BUS2	V360	17.05.2017 11:00	17.05.2017 12:23	83	PC36132
BUS2	V360	17.05.2017 08:41	17.05.2017 09:15	34	PC36132
SUS	RIE	17.05.2017 06:34	17.05.2017 06:59	25	PC37156
SUS	RIV	17.05.2017 04:04	17.05.2017 06:34	150	PC37156
BUS2	V330-1	17.05.2017 03:56	17.05.2017 04:03	7	PC37156
BUS2	V340	17.05.2017 03:42	17.05.2017 03:56	14	PC37156
BUS2	E400	16.05.2017 23:22	17.05.2017 03:41	259	PC37156
BUS2	V330-3	16.05.2017 23:11	16.05.2017 23:22	11	PC37156
BUS2	V330-2	16.05.2017 23:00	16.05.2017 23:11	11	PC37156
BUS2	V330-3	16.05.2017 17:05	16.05.2017 17:16	11	PC36132
BUS2	V330-1	16.05.2017 16:57	16.05.2017 17:05	8	PC36132
BUS2	V290	16.05.2017 16:52	16.05.2017 16:57	5	PC36132
BUS2	V360	16.05.2017 16:03	16.05.2017 16:52	49	PC36132
BUS2	E400	16.05.2017 11:14	16.05.2017 16:03	289	PC36132
BUS2	V340	16.05.2017 11:00	16.05.2017 11:14	14	PC36132
BUS2	V330-2	16.05.2017 11:00	16.05.2017 11:11	11	PC37156
SUS	RIE	16.05.2017 06:48	16.05.2017 07:14	26	PC37156
BUS2	V300	16.05.2017 04:49	16.05.2017 05:43	54	PC36132
SUS	RIV	16.05.2017 03:21	16.05.2017 06:48	207	PC37156
BUS2	V330-3	16.05.2017 03:11	16.05.2017 03:20	9	PC37156
BUS2	V330-1	16.05.2017 03:03	16.05.2017 03:11	8	PC37156
BUS2	V330-2	16.05.2017 02:24	16.05.2017 03:03	39	PC37156
BUS2	V360	16.05.2017 01:50	16.05.2017 04:49	179	PC36132
BUS2	E400	15.05.2017 23:13	16.05.2017 02:23	190	PC37156
BUS2	V340	15.05.2017 23:00	15.05.2017 23:13	13	PC37156
BUS2	V300	15.05.2017 20:59	16.05.2017 01:50	291	PC36132
BUS2	V300	15.05.2017 13:06	15.05.2017 20:59	473	PC36132
BUS2	V330-1	15.05.2017 12:59	15.05.2017 13:06	7	PC36132
BUS2	E400	15.05.2017 12:55	15.05.2017 17:12	257	PC37156
BUS2	V360	15.05.2017 11:37	15.05.2017 12:55	78	PC37156
BUS2	V290	15.05.2017 11:33	15.05.2017 11:37	4	PC37156
BUS2	V340	15.05.2017 11:20	15.05.2017 11:33	13	PC37156
BUS2	V330-3	15.05.2017 11:10	15.05.2017 11:20	10	PC37156
BUS2	V330-2	15.05.2017 11:00	15.05.2017 11:10	10	PC37156
SUS	RIV	15.05.2017 04:52	15.05.2017 06:28	96	PC37156
SUS	RIE	15.05.2017 04:27	15.05.2017 04:52	25	PC37156
BUS2	V360	15.05.2017 04:19	15.05.2017 04:38	19	PC36132
BUS2	E400	15.05.2017 00:10	15.05.2017 04:26	256	PC37156
BUS2	V330-3	15.05.2017 00:00	15.05.2017 00:10	10	PC37156
BUS2	V340	14.05.2017 23:19	14.05.2017 23:32	13	PC37156
BUS2	V330-2	14.05.2017 23:08	14.05.2017 23:19	11	PC37156
BUS2	V330-1	14.05.2017 23:00	14.05.2017 23:08	8	PC37156
BUS2	V300	14.05.2017 18:06	14.05.2017 19:59	113	PC36132
BUS2	V330-1	14.05.2017 17:58	14.05.2017 18:06	8	PC36132
BUS2	V290	14.05.2017 17:54	14.05.2017 17:58	4	PC36132
BUS2	E400	14.05.2017 17:38	14.05.2017 20:48	190	PC37156
BUS2	V330-3	14.05.2017 17:28	14.05.2017 17:38	10	PC37156
BUS2	V330-2	14.05.2017 17:18	14.05.2017 17:28	10	PC37156
BUS2	V360	14.05.2017 17:04	14.05.2017 17:18	14	PC37156
BUS2	V340	14.05.2017 16:50	14.05.2017 17:04	14	PC37156
SUS	RIE	14.05.2017 16:24	14.05.2017 16:50	26	PC37156
SUS	RIV	14.05.2017 08:20	14.05.2017 16:24	484	PC37156
BUS2	V300	14.05.2017 08:10	14.05.2017 09:34	84	PC36132
BUS2	E400	13.05.2017 23:51	14.05.2017 03:17	206	PC36132
BUS2	V340	13.05.2017 23:38	13.05.2017 23:51	13	PC36132
BUS2	V330-1	13.05.2017 23:26	13.05.2017 23:33	7	PC37156
BUS2	V360	13.05.2017 23:22	13.05.2017 23:38	16	PC36132
BUS2	V330-2	13.05.2017 23:11	13.05.2017 23:22	11	PC36132
BUS2	V330-3	13.05.2017 23:00	13.05.2017 23:10	10	PC36132
BUS2	V300	13.05.2017 14:12	13.05.2017 15:05	53	PC37156
BUS2	V340	13.05.2017 13:58	13.05.2017 14:12	14	PC37156
BUS2	E400	13.05.2017 13:16	13.05.2017 16:41	205	PC36132
BUS2	V330-1	13.05.2017 13:08	13.05.2017 13:16	8	PC36132
BUS2	V290	13.05.2017 13:03	13.05.2017 13:08	5	PC36132
BUS2	V360	13.05.2017 11:21	13.05.2017 13:58	157	PC37156
BUS2	V330-3	13.05.2017 11:11	13.05.2017 11:21	10	PC37156
BUS2	V330-2	13.05.2017 11:00	13.05.2017 11:11	11	PC37156
SUS	RIE	13.05.2017 05:05	13.05.2017 05:31	26	PC37156
SUS	RIV	13.05.2017 03:35	13.05.2017 05:05	90	PC37156
BUS2	V360	13.05.2017 03:34	13.05.2017 04:43	69	PC36132
BUS2	V330-3	13.05.2017 03:25	13.05.2017 03:35	10	PC37156
BUS2	V340	13.05.2017 03:21	13.05.2017 03:34	13	PC36132
BUS2	V330-1	13.05.2017 03:17	13.05.2017 03:25	8	PC37156
BUS2	V330-2	13.05.2017 02:39	13.05.2017 03:21	42	PC36132
BUS2	E400	12.05.2017 23:00	13.05.2017 03:17	257	PC37156
BUS2	V330-3	12.05.2017 16:38	12.05.2017 16:49	11	PC36132
BUS2	V300	12.05.2017 15:14	12.05.2017 18:18	184	PC37156
BUS2	V330-1	12.05.2017 15:09	12.05.2017 15:17	8	PC36132
BUS2	V360	12.05.2017 14:30	12.05.2017 15:09	39	PC36132
BUS2	V340	12.05.2017 14:05	12.05.2017 14:18	13	PC36132
BUS2	V330-2	12.05.2017 13:52	12.05.2017 14:05	13	PC36132
BUS2	V290	12.05.2017 13:47	12.05.2017 13:52	5	PC36132
BUS2	E400	12.05.2017 12:04	12.05.2017 15:13	189	PC37156
SUS	RIV	12.05.2017 04:17	12.05.2017 12:04	467	PC37156
SUS	RIE	12.05.2017 03:51	12.05.2017 04:17	26	PC37156
BUS2	V330-2	12.05.2017 03:40	12.05.2017 03:51	11	PC37156
BUS2	V330-3	12.05.2017 03:30	12.05.2017 03:40	10	PC37156
BUS2	V360	12.05.2017 03:20	12.05.2017 05:27	127	PC36132
BUS2	V340	12.05.2017 03:15	12.05.2017 03:29	14	PC37156
BUS2	V330-1	12.05.2017 03:13	12.05.2017 03:20	7	PC36132
BUS2	E400	11.05.2017 23:00	12.05.2017 03:15	255	PC37156
BUS2	V290	11.05.2017 13:50	11.05.2017 13:55	5	PC36132
BUS2	V330-3	11.05.2017 13:38	11.05.2017 13:50	12	PC36132
BUS2	V360	11.05.2017 13:08	11.05.2017 13:38	30	PC36132
BUS2	V330-1	11.05.2017 13:00	11.05.2017 13:08	8	PC36132
BUS2	E400	11.05.2017 11:26	11.05.2017 13:00	94	PC36132
BUS2	V340	11.05.2017 11:12	11.05.2017 11:26	14	PC36132
BUS2	V330-2	11.05.2017 11:00	11.05.2017 11:12	12	PC36132
SUS	RIV	11.05.2017 02:13	11.05.2017 03:41	88	PC37156
SUS	RIE	11.05.2017 01:47	11.05.2017 02:13	26	PC37156
BUS2	V330-3	11.05.2017 01:36	11.05.2017 01:47	11	PC37156
BUS2	V330-1	11.05.2017 01:28	11.05.2017 01:36	8	PC37156
BUS2	V360	10.05.2017 23:27	11.05.2017 01:28	121	PC37156
BUS2	V330-2	10.05.2017 23:15	10.05.2017 23:27	12	PC37156
BUS2	E400	10.05.2017 23:00	11.05.2017 02:31	211	PC36132
BUS2	V340	10.05.2017 23:00	10.05.2017 23:15	15	PC37156
BUS2	E400	10.05.2017 12:33	10.05.2017 15:51	198	PC37156
BUS2	V330-1	10.05.2017 12:25	10.05.2017 12:33	8	PC37156
BUS2	V340	10.05.2017 12:10	10.05.2017 12:25	15	PC37156
BUS2	V290	10.05.2017 12:04	10.05.2017 12:10	6	PC37156
BUS2	V360	10.05.2017 11:22	10.05.2017 12:04	42	PC37156
BUS2	V330-2	10.05.2017 11:11	10.05.2017 11:22	11	PC37156
BUS2	V330-3	10.05.2017 11:00	10.05.2017 11:11	11	PC37156
SUS	RIE	10.05.2017 08:07	10.05.2017 08:36	29	PC37156
SUS	RIV	10.05.2017 04:22	10.05.2017 08:07	225	PC37156
BUS2	V330-2	10.05.2017 03:47	10.05.2017 04:24	37	PC36132
BUS2	V330-1	10.05.2017 03:40	10.05.2017 03:47	7	PC36132
BUS2	E400	10.05.2017 00:00	10.05.2017 04:22	262	PC37156
BUS2	V360	09.05.2017 23:25	09.05.2017 23:55	30	PC37156
BUS2	V340	09.05.2017 23:11	09.05.2017 23:25	14	PC37156
BUS2	V330-3	09.05.2017 23:00	09.05.2017 23:10	10	PC37156
BUS2	V360	09.05.2017 20:03	09.05.2017 20:19	16	PC37156
BUS2	E400	09.05.2017 16:50	09.05.2017 20:03	193	PC37156
BUS2	V330-1	09.05.2017 11:43	09.05.2017 11:50	7	PC37156
BUS2	V340	09.05.2017 11:28	09.05.2017 11:42	14	PC37156
BUS2	V290	09.05.2017 11:22	09.05.2017 11:28	6	PC37156
BUS2	V330-3	09.05.2017 11:11	09.05.2017 11:22	11	PC37156
BUS2	V330-2	09.05.2017 11:00	09.05.2017 11:11	11	PC37156
SUS	RIE	09.05.2017 09:53	09.05.2017 10:21	28	PC37156
BUS2	V360	09.05.2017 05:05	09.05.2017 07:57	172	PC36132
SUS	RIV	09.05.2017 04:43	09.05.2017 09:53	310	PC37156
BUS2	V330-1	09.05.2017 04:36	09.05.2017 04:43	7	PC37156
BUS2	V330-3	09.05.2017 04:26	09.05.2017 04:36	10	PC37156
BUS2	V300	09.05.2017 04:13	09.05.2017 05:05	52	PC36132
BUS2	V340	09.05.2017 04:00	09.05.2017 04:13	13	PC36132
BUS2	E400	09.05.2017 00:01	09.05.2017 04:26	265	PC37156
BUS2	V330-2	08.05.2017 23:00	09.05.2017 00:01	61	PC37156
BUS2	V300	08.05.2017 12:08	08.05.2017 13:00	52	PC37156
BUS2	V330-1	08.05.2017 12:01	08.05.2017 12:08	7	PC37156
BUS2	V360	08.05.2017 11:45	08.05.2017 12:01	16	PC37156
BUS2	V340	08.05.2017 11:29	08.05.2017 11:45	16	PC37156
BUS2	V330-3	08.05.2017 11:18	08.05.2017 11:29	11	PC37156
BUS2	V290	08.05.2017 11:12	08.05.2017 11:18	6	PC37156
BUS2	V330-2	08.05.2017 11:01	08.05.2017 11:12	11	PC37156
BUS2	E400	08.05.2017 11:00	08.05.2017 15:40	280	PC36132
BUS2	V300	08.05.2017 10:11	08.05.2017 11:01	50	PC37156
BUS2	V300	08.05.2017 09:19	08.05.2017 10:11	52	PC37156
SUS	RIV	08.05.2017 02:39	08.05.2017 04:41	122	PC37156
SUS	RIE	08.05.2017 02:11	08.05.2017 02:38	27	PC37156
BUS2	V330-3	08.05.2017 02:00	08.05.2017 02:11	11	PC37156
BUS2	V360	08.05.2017 00:00	08.05.2017 02:00	120	PC37156
BUS2	V340	07.05.2017 23:20	07.05.2017 23:35	15	PC37156
BUS2	V330-2	07.05.2017 23:09	07.05.2017 23:20	11	PC37156
BUS2	E400	07.05.2017 23:00	08.05.2017 03:57	297	PC36132
BUS2	V330-1	07.05.2017 23:00	07.05.2017 23:09	9	PC37156
BUS2	V330-2	07.05.2017 13:33	07.05.2017 13:45	12	PC36132
BUS2	V330-1	07.05.2017 13:25	07.05.2017 13:33	8	PC36132
BUS2	E400	07.05.2017 12:12	07.05.2017 16:51	279	PC37156
BUS2	V330-3	07.05.2017 12:01	07.05.2017 12:12	11	PC37156
BUS2	V340	07.05.2017 11:46	07.05.2017 12:01	15	PC37156
BUS2	V360	07.05.2017 11:05	07.05.2017 11:46	41	PC37156
BUS2	V290	07.05.2017 11:00	07.05.2017 11:05	5	PC37156
SUS	RIE	07.05.2017 05:07	07.05.2017 05:35	28	PC37156
SUS	RIV	07.05.2017 01:24	07.05.2017 05:07	223	PC37156
BUS2	V330-3	07.05.2017 01:13	07.05.2017 01:24	11	PC37156
BUS2	V330-2	07.05.2017 01:02	07.05.2017 01:13	11	PC37156
BUS2	E400	07.05.2017 00:01	07.05.2017 05:05	304	PC36132
BUS2	V330-1	06.05.2017 23:51	06.05.2017 23:59	8	PC36132
BUS2	V360	06.05.2017 23:15	07.05.2017 01:02	107	PC37156
BUS2	V340	06.05.2017 23:00	06.05.2017 23:15	15	PC37156
BUS2	V360	06.05.2017 15:18	06.05.2017 15:36	18	PC37156
BUS2	E400	06.05.2017 11:50	06.05.2017 15:18	208	PC37156
BUS2	V340	06.05.2017 11:35	06.05.2017 11:50	15	PC37156
BUS2	V330-2	06.05.2017 11:24	06.05.2017 11:35	11	PC37156
BUS2	V290	06.05.2017 11:19	06.05.2017 11:24	5	PC37156
BUS2	V330-1	06.05.2017 11:10	06.05.2017 11:18	8	PC37156
BUS2	V330-3	06.05.2017 11:00	06.05.2017 11:10	10	PC37156
BUS2	V360	06.05.2017 07:41	06.05.2017 07:56	15	PC37156
BUS2	V290	06.05.2017 07:05	06.05.2017 07:11	6	PC36132
BUS2	V330-1	06.05.2017 06:57	06.05.2017 07:05	8	PC36132
SUS	RIV	06.05.2017 04:33	06.05.2017 07:41	188	PC37156
SUS	RIE	06.05.2017 04:05	06.05.2017 04:33	28	PC37156
BUS2	V340	06.05.2017 03:50	06.05.2017 04:05	15	PC37156
BUS2	V330-3	06.05.2017 01:46	06.05.2017 01:57	11	PC36132
BUS2	V330-2	06.05.2017 00:49	06.05.2017 01:46	57	PC36132
